namec,dist
שבי שומרון,מרכז
שדה אליהו,צפון
שדה יעקב,צפון
שדרות,דרום
שובל,דרום
שוהם,מרכז
שומריה,דרום
שילה,ירושלים
שילת,ירושלים
שכניה,צפון
שלומי,צפון
שמשית,צפון
שעלבים,מרכז
שערי תקווה,מרכז
שפיים,תל אביב
שפיר,דרום
שפרעם,ירושלים
שקד,מרכז
שריגים,ירושלים
שריד,צפון
תירוש,דרום
תל אביב - יפו,תל אביב
תל יצחק,תל אביב
תל מונד,מרכז
תלמים,דרום
תנובות,מרכז
תפרח,דרום
תקוע,ירושלים
קרית אונו,תל אביב
קרית ארבע,ירושלים
קרית אתא,חיפה
קרית ביאליק,חיפה
קרית גת,דרום
קרית טבעון,חיפה
קרית ים,חיפה
קרית יערים,ירושלים
קרית מוצקין,חיפה
קרית מלאכי,דרום
קרית עקרון,מרכז
קרית שמונה,צפון
